,contract_id,starts_on,company_id,first_disb_date,grace_period_days,max_disposition_percentage,projection_uuid,projected_financing_days,principal_amount,take_rate,min_daily_payment,max_daily_payment,disbursement_fee,blended_contract_id,projection_method,payment_model,product_type,platforms,sat_conn,first_dd_date,sat_declaration_rate,total_sat_rate,avr_cf_l3m,avr_cf_l6m,avr_cf_l12m,avr_gross_m_l3m,avr_gross_m_l6m,avr_gross_m_l12m,avr_net_m_l3m,avr_net_m_l6m,avr_net_m_l12m,av_itmes_l3m,av_itmes_l6m,av_itmes_l12m,av_amount_l3m,av_amount_l6m,av_amount_l12m,moratory_av_itmes_l3m,moratory_av_itmes_l6m,moratory_av_itmes_l12m,moratory_av_amount_l3m,moratory_av_amount_l6m,moratory_av_amount_l12m,meli_fin_var,peg_invoicing,concentration_clients,data_sat_days,l3m_total_employees,l6m_total_employees,l12m_total_employees
210,a998044b-cfc4-48e2-95ca-2b753b85a5e0,2022-03-03,44842e20-d9c7-4899-9176-b0cf5fd5eb1e,2022-03-09,30,0.4,837aded3-12e7-40f7-a3f3-5a58b392c0bb,150,750000.0,0.175,3550.0,4400.0,0.099,0,0,revenue-based-capped,working-capital,1,1,2022-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,8989d84f-ae30-4f89-bd91-02c2c121911e,2022-06-16,e8b94d3b-9e55-4b40-9dcc-d26883a6d235,2022-06-21,30,0.65,e6e8fdd6-02f6-4438-8a73-18729e32e00f,420,500000.0,0.0,4620.0,4620.0,0.16,69ffdc3f-9076-4822-bad8-4d3ad64273e0,rp,fixed-payments,working-capital,1,1,2022-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,d8535006-179f-4b32-952f-fad07b7dbe1d,2022-06-23,c2db0028-e261-4bb7-9a11-8762be135709,2022-06-30,30,0.3,4d2aee47-1254-46a0-8adf-1c7405bfc120,300,1300000.0,0.16,5080.0,7000.0,0.104,0,rp,revenue-based-capped,working-capital,3,1,2022-07-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,00bf6853-9b3e-4ee6-8274-50e48017e8a6,2022-03-07,31755056-f575-470a-bb82-dbaf94bf48e8,2022-03-10,60,0.5,028edd91-b6eb-46f1-9a20-b32466df53f7,120,22000000.0,0.0,199000.0,199000.0,0.0715,0,0,fixed-payments,working-capital,1,1,2022-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,31a935e6-4543-4dde-9949-bbb80e263daf,2022-05-12,08e40343-54aa-49d1-9317-4dbcd16ee70f,2022-05-16,60,0.5,95a3831f-8cb0-4102-a9f6-20a8fe65be22,210,7950000.0,0.0,60600.0,60600.0,0.082,0,rp,fixed-payments,working-capital,1,1,2022-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,ad596894-a209-4bc0-aafc-186761278f32,2022-06-22,c3032229-eb0e-40af-b2ad-9f08bfa9b413,2022-07-07,30,0.3,8d80a583-4341-49a3-9a45-4caa86d36724,270,650000.0,0.22,2700.0,3400.0,0.108,0,rp,revenue-based-capped,working-capital,3,1,2022-08-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,96425db0-65d6-4f4e-b25b-faff36273a66,2022-03-09,f9e9d7f9-f66d-41ce-a1d5-2ad7c9577279,2022-03-22,30,0.35,c60ff47f-764f-45e5-a31b-eddc527cbbc2,180,5000000.0,0.065,22000.0,25000.0,0.1,0,0,revenue-based-capped,working-capital,1,1,2022-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,d56c5294-4ce7-4326-94a2-0488fa06a091,2022-03-18,0620e8a0-1bfb-4204-bc3a-bca0869c4a1e,2022-03-28,30,0.34,c51c3d57-183a-488f-9e2d-9225d65fe2f3,270,1200000.0,0.0,5520.0,5520.0,0.104,0,0,fixed-payments,working-capital,3,1,2022-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,51b1a78f-a4f2-43e0-9f0d-649039807e21,2022-03-11,a032c4c3-80bf-4611-a2a0-ebba7bc687f2,2022-03-28,30,0.4,2c9e0af5-a094-49b0-8826-206aad3e6e19,210,600000.0,0.15,2300.0,2900.0,0.127,0,0,revenue-based-capped,working-capital,3,1,2022-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,e174b8c0-9ef8-41f3-9b2c-9e77601b76ee,2022-03-16,1e48d4fc-ca77-4dd1-b927-68ea77611014,2022-03-22,30,0.5,057ed4f6-bed8-4ca0-9bd3-a1fc44d17629,270,1500000.0,0.0,11200.0,11200.0,0.114,1d881bc8-79a4-44ea-a737-0a81682ebca3,0,fixed-payments,working-capital,1,1,2022-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,54b56204-76aa-4df1-b7e1-5528b6fe4dff,2022-03-19,3fe628d9-2c61-480a-838e-42698e7a795d,2022-03-29,30,0.3,ec08debb-0ea6-43fd-a1de-38c0a428301b,150,1000000.0,0.24,3900.0,5100.0,0.105,0,0,revenue-based-capped,working-capital,2,1,2022-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,57d6cfe9-e1fe-4f00-b0d1-cb1cc68c6516,2022-03-31,656583a6-47fa-4164-9369-3e70f91b03ba,2022-04-08,45,0.5,16d9af2e-7073-40c4-ac28-2f9122969d9f,150,12000000.0,0.0,108650.0,108650.0,0.0745,0,0,fixed-payments,working-capital,1,1,2022-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,3960d1ce-1931-4ff2-be02-53a922a8ba1a,2022-03-25,c6530cf1-6942-4341-aa7a-36dfa3514de8,2022-03-28,30,1.0,678be84e-24b5-4ca0-83cc-d83bfa5bcf06,150,16000000.0,0.0,144133.0,144133.0,0.081,0,0,fixed-payments,working-capital,2,1,2022-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,a742ca3f-04d9-4f8a-b705-ed7f98638c12,2022-06-28,3afec9ad-2f8b-4252-9a8b-0fb607a4292b,2022-07-14,30,0.4,afd8a076-8060-4c28-b6c6-80a61a81dcb3,270,1500000.0,0.0,7100.0,7100.0,0.119,0,rp,fixed-payments,working-capital,1,1,2022-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,5e6088ef-7495-4c95-9007-43f21a8fd83a,2022-06-29,a9433c93-d246-42c5-8f9f-5a946dc77a3e,2022-07-08,30,0.4,c9d72e57-6007-4488-a806-30285b818091,270,900000.0,0.0,4290.0,4290.0,0.125,0,rp,fixed-payments,working-capital,2,1,2022-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,169b37b4-07e9-463c-8dfa-c94739eb3708,2022-04-13,9737c777-fd37-4aba-a2ab-81f982b32589,2022-04-18,30,1.0,5e476a7d-81c6-4ff0-8f31-9cb54fdc44de,180,3000000.0,0.35,27100.0,35000.0,0.109,343476c8-3115-4d4f-a8e6-2d7245f3e5e3,rp,revenue-based-capped,working-capital,1,1,2022-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,fd65cee7-b28d-4bc0-8c93-44cce1af525d,2022-06-30,67022d7b-3c90-40fb-aec8-85a36001bdbd,2022-07-12,30,0.4,be7388b1-1c53-4a12-aafd-16adb5a891e9,360,600000.0,0.21909489227486,4350.0,6600.0,0.12,5682ee80-14b9-4566-9743-ebcd0e8465f7,rp,revenue-based-capped,working-capital,4,1,2022-08-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,4c1060ab-f481-4699-a87b-9feb60fe3524,2022-06-29,4739ef41-2326-456b-a540-e34d7cc908a8,2022-07-04,30,0.25,f9cf670a-b458-4ab3-84f2-9fc88b393a14,390,2500000.0,0.3,14500.0,18000.0,0.1,f1ee508f-7920-41ed-8cea-715147588629,rp,revenue-based-capped,working-capital,1,1,2022-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,49aba302-4281-4432-a7fc-1188901c920b,2022-06-30,bfc59046-f957-4e25-a1ed-2d3dff42ea48,2022-07-12,60,0.34,02a0a6f3-11c8-4063-a430-724233f91068,300,5000000.0,0.0,23610.0,23610.0,0.115,0,rp,fixed-payments,working-capital,1,1,2022-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,ac3cecf8-6ed5-4651-9d51-c5e3ac23bcab,2022-07-06,b5ba51c5-c829-492f-a7ee-51864f8fcd64,2022-07-08,30,0.25,0f201000-5ebb-4504-b44c-e20be9843632,390,6000000.0,0.25,32000.0,36000.0,0.1,59b4b0d2-5dbc-45e3-bf8a-2dab9cb2636a,rp,revenue-based-capped,working-capital,2,1,2022-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,f5d1658b-a16a-4ab0-b5ac-5ecc7b1ab32c,2022-07-06,a395b737-00e3-404f-8050-8901c3ccfc16,2022-07-08,30,0.65,d9ce77da-4062-48e6-b9e1-081c4fab64a9,390,700000.0,0.128364476993284,6300.0,7900.0,0.112,06a718fd-062f-4f1c-97bc-41be73d5613c,rp,revenue-based-capped,working-capital,2,1,2022-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,fd8c7055-36dd-4369-b4d5-70531df27e68,2022-07-13,fc217efb-1a75-421a-8d11-d58dcb424558,2022-07-18,30,0.5,215fe105-9561-483a-b937-a3e18986ae90,420,700000.0,0.25,5500.0,6200.0,0.118,5e839a1e-76bf-4e8a-b4c2-091af13117b1,rp,revenue-based-capped,working-capital,1,1,2022-08-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,36896a2c-cc30-42d7-a43f-b7a179ed9bed,2022-07-08,fc054669-1734-4e44-a47c-e344302f8e17,2022-07-27,45,0.5,6fc503b3-eca2-47e6-94eb-958dfd150a75,420,5000000.0,0.0,39500.0,39500.0,0.119,85ede5a6-7cf2-43f7-b0ac-289e2c47e5b9,rp,fixed-payments,working-capital,1,1,2022-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,84c7597b-3540-4ee1-a011-1362a97053ed,2020-12-29,3440eb09-2eb6-476e-bbea-c8bbdd8f146e,2020-12-30,30,0.22,3a8f05a0-9490-4dd6-8e9c-cff258a79e23,360,5055470.0,0.088,19790.55,24866.68,0.11,0,0,revenue-based-capped,working-capital,1,1,2021-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,84839726-3c4d-47ea-80ed-dd482e99e4bc,2021-02-01,7cf40ac6-9a2d-4455-a6a2-149b8fb3d8da,2021-02-04,30,0.25,4912bbb3-1d53-4d8b-bf0d-73c1b32ef783,360,50325.0,0.069,172.73,213.98,0.155,0,0,revenue-based-capped,working-capital,1,1,2021-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,a3a56341-ec2c-4320-a2a4-2b58cc7dfda5,2021-03-04,8e60ab46-986d-49af-9a10-9990bb0ea832,2021-03-11,30,0.3333,d3d89593-7dd1-4d4f-94ba-8a3ff827185c,300,610004.0,0.235,2450.0,2990.0,0.12,0,0,revenue-based-capped,working-capital,1,1,2021-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256,a2e3a746-d4fe-40fa-821a-aee8a3c23506,2021-03-08,d9b8dbfc-93ae-466b-8d90-b8fa2c714e5c,2021-03-22,30,0.3333,470e1916-f77e-4adb-8bce-b3f50192fbda,300,1140495.0,0.068,4352.32,5479.61,0.12,0,,revenue-based-capped,working-capital,2,1,2021-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,43740e94-f362-46aa-bdc4-75fbca1c12ee,2021-03-23,2d2581a8-4094-49a0-8d4a-7b31f2cc6818,2021-04-06,30,0.3333,89fca8c5-cd7a-443a-b3d7-b87a97ea0d20,300,160792.0,0.085,679.0,899.0,0.13,0,0,revenue-based-capped,working-capital,1,1,2021-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,ba830457-c1b1-48c6-b58b-61d1a5075016,2021-04-20,6e2908d7-962e-4be0-a316-2c4f69416c40,2021-06-16,30,0.3333,b97044da-4908-47af-a309-99f075f13402,270,3743001.0,0.245,17299.0,22470.0,0.081,0,,revenue-based-capped,working-capital,4,1,2021-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,f416c8d8-de5b-4812-9747-c2ec1f6aecb8,2021-04-23,2064e546-cb4b-42a6-ba20-be193a941ba3,2021-04-30,30,0.35,99ce0771-79d4-4dd9-8e90-f08acaaf1fdf,330,603728.0,0.092,2300.0,2600.0,0.12,0,,revenue-based-capped,working-capital,1,1,2021-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,e6f4ffcb-6402-469e-9819-044dbb77b00e,2021-04-26,59eff6b7-639e-48cb-96c1-6940e6c70b8a,2021-05-07,30,0.46,b3a06af5-72dc-43e7-acd6-7755e8d7679b,270,309439.0,0.045,1912.66,1912.66,0.12,0,0,revenue-based-capped,working-capital,1,1,2021-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
266,76b172ec-4b5e-4779-b048-4b1c112a2db6,2021-04-29,e8b94d3b-9e55-4b40-9dcc-d26883a6d235,2021-06-09,30,0.3333,80a8effb-2d58-405c-8ec4-bbac97b1e694,300,715963.0,0.18,2735.0,3566.0,0.147,0,0,revenue-based-capped,working-capital,1,1,2021-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,c1e5427c-659b-4f22-846a-ff5aa307a254,2021-04-30,d1b258d1-9f86-4139-b9ce-de1d33e3434f,2021-06-01,30,0.25,a71ca292-f692-44e1-a470-c2275c2eecac,300,804592.0,0.05,2879.0,3645.0,0.11,0,0,revenue-based-capped,working-capital,1,1,2021-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,3c16aa75-2677-4a55-ba11-e0709bb3bdc9,2021-04-30,2dfdd356-5cd4-44c2-8387-3b55f7cb75db,2021-05-17,30,0.25,302f9a0b-9fac-440b-a0ed-de681a055416,330,252612.0,0.09,903.0,1145.0,0.14,0,,revenue-based-capped,working-capital,1,1,2021-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
274,3aaa4071-fdea-4e81-9726-c0e9591dde2e,2021-05-10,4aa416b8-a0da-48b1-b4a1-92dec7fb9a34,2021-05-13,30,0.35,824b6efa-15de-44d7-bf5c-dcb7eabdea77,300,230448.0,0.233,880.0,1165.0,0.157,0,,revenue-based-capped,working-capital,1,1,2021-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275,27f42f3d-b09c-409a-8280-6d60a3e0c0a8,2021-05-24,97503d87-af9f-4295-8aac-185eb228a0f3,2021-06-15,30,0.25,df1eab02-bec5-4413-8816-ae33b1dc2715,360,2303529.0,0.25,8315.0,10550.0,0.12,0,,revenue-based-capped,working-capital,1,1,2021-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,e82d34fe-37ed-46d4-a58b-9e8bb2389ddc,2021-06-16,691e494a-dc5e-4845-8f31-9721dc4fe6ca,2021-06-18,30,0.4,26f6fd58-66de-41c3-a422-804522a6057d,240,7000000.0,0.27,21600.0,31500.0,0.133,0,,revenue-based-capped,working-capital,2,1,2021-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,e1124579-3108-4966-88eb-bc9fc2049681,2021-06-29,e016085b-6f9d-4dd9-9812-3516d885b9ca,2021-07-02,30,0.27,dc150bfa-efdf-446f-ad25-ad06908abb13,180,750000.0,0.188,2700.0,3300.0,0.12,0,,revenue-based-capped,working-capital,2,1,2021-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,2969e88e-3996-496b-8c4c-1bd0a1b670a2,2021-06-30,4f4e5a1d-60c9-4fe7-ab7f-ecef8cd7cc06,2021-07-29,30,0.3333,cb64900b-af8c-46e1-8baf-29504e94f300,240,1069873.0,0.05,3650.0,4800.0,0.12,0,,revenue-based-capped,working-capital,1,1,2021-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289,375f948f-7176-40d7-a348-f8fe78800c13,2021-07-08,8e60ab46-986d-49af-9a10-9990bb0ea832,2021-07-21,30,1.0,54b78058-fa41-47f0-976b-82e330c71bda,210,200000.0,0.235,2990.0,3600.0,0.12,a3a56341-ec2c-4320-a2a4-2b58cc7dfda5,,revenue-based-capped,working-capital,1,1,2021-08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291,7c5ef068-243e-4f0a-b5a2-76478bae5611,2021-07-14,8af95fc4-ddfe-40dc-8137-4dce775a60ea,2021-07-22,30,0.5,3a4457d4-0b7b-4ac9-8b67-db3ebadd5b5b,240,100000.0,0.031,450.0,450.0,0.15,0,,fixed-payments,working-capital,1,1,2021-08-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,9a5506d7-4873-4190-a61e-dd75aa3dded8,2021-07-15,448230fc-7892-41ae-9e1b-4214af5f92ec,2021-07-20,30,0.33333,c0eae688-7278-4f40-96ed-3341a0722627,210,3000000.0,0.25,12200.0,15500.0,0.109,0,,revenue-based-capped,working-capital,1,1,2021-08-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298,2973b449-a97e-429e-b7a3-e223935ab57c,2021-07-30,f61b3749-9642-4a40-9414-14d631f8a506,2021-08-17,30,0.3333,5cbd88a6-fb3f-4326-8927-24e23332f343,210,300000.0,0.094,1300.0,1300.0,0.146,0,,fixed-payments,working-capital,2,1,2021-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
299,69e735d7-bf91-4efb-95dd-5a14b57c10f6,2021-07-08,5474268b-8ade-40fa-abab-a498579fd98a,2021-07-12,60,0.5,e3881272-89c1-4593-92cd-04b2d6d8ac2e,360,20000000.0,0.11,186413.79,202093.46,0.07,0,,revenue-based-capped,working-capital,1,1,2021-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,846bc4d3-cc1c-4d3a-88f5-aefb0c42054c,2021-08-02,96cc7cac-dc6f-40a9-aba4-76e389ad3e26,2021-08-17,30,0.3333,2e014f92-d4bc-4f41-9be5-0726e2157624,210,400000.0,0.16,1550.0,1950.0,0.14,0,,revenue-based-capped,working-capital,1,1,2021-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305,e81c18ec-dcb6-4812-817e-9cfee4d9a58f,2021-08-10,2d2581a8-4094-49a0-8d4a-7b31f2cc6818,2021-08-30,30,0.5,0fdfd409-19e2-4845-a721-45bcc0393442,240,310000.0,0.3,1390.0,1890.0,0.155,43740e94-f362-46aa-bdc4-75fbca1c12ee,0,revenue-based-capped,working-capital,1,1,2021-09-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307,8700a52e-806b-440e-b98f-63316476c593,2021-08-12,82c1c737-51e0-41eb-9481-9a4b3cef4dd6,2021-08-17,30,0.45,db79b34e-ce23-4be2-97cc-b4fc92a9504a,180,500000.0,0.23,2350.0,3000.0,0.13,0,,revenue-based-capped,working-capital,1,1,2021-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
