,contract_id,starts_on,company_id,first_disb_date,grace_period_days,max_disposition_percentage,projection_uuid,projected_financing_days,principal_amount,take_rate,min_daily_payment,max_daily_payment,disbursement_fee,blended_contract_id,projection_method,payment_model,product_type,platforms,sat_conn,first_dd_date,sat_declaration_rate,total_sat_rate,avr_cf_l3m,avr_cf_l6m,avr_cf_l12m,avr_gross_m_l3m,avr_gross_m_l6m,avr_gross_m_l12m,avr_net_m_l3m,avr_net_m_l6m,avr_net_m_l12m,av_itmes_l3m,av_itmes_l6m,av_itmes_l12m,av_amount_l3m,av_amount_l6m,av_amount_l12m,moratory_av_itmes_l3m,moratory_av_itmes_l6m,moratory_av_itmes_l12m,moratory_av_amount_l3m,moratory_av_amount_l6m,moratory_av_amount_l12m,meli_fin_var,peg_invoicing,concentration_clients,data_sat_days,l3m_total_employees,l6m_total_employees,l12m_total_employees
114,8899bed0-5f04-4602-966d-e5aa21ba95ba,2022-01-27,c77f8878-c72c-49e1-879b-485e8befdaba,2022-02-14,45,0.45,9d5ab7cd-3e19-41d0-b967-32641ca98868,180,1000000.0,0.0,5800.0,5800.0,0.115,0,0,fixed-payments,working-capital,1,1,2022-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,23767ada-ff74-4000-946c-6d32808bd53d,2022-05-31,a274268d-85f0-4b82-bc3b-5cd245f162b9,2022-06-13,30,0.3,b779e47b-b706-4767-8379-c44a879dfff4,270,900000.0,0.0,4200.0,4200.0,0.105,0,rp,fixed-payments,working-capital,3,1,2022-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,dd21de3e-dfcd-42da-b332-c200862f456a,2021-03-18,97fdda13-101c-4056-806d-d5168b1cf966,2021-04-07,30,0.25,a0ca1ad5-565b-4126-8c8c-50514b505c86,330,2278999.0,0.086,8159.0,9999.0,0.1,0,0,revenue-based-capped,working-capital,2,1,2021-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,eeaa0d6f-54c9-4a56-8787-68b7a1fa9d8f,2022-05-16,b87f4e31-8d29-42a5-924b-b4b571c9ad42,2022-05-25,45,0.3333,111c18cb-8015-426e-ac76-84bf0c763e5d,201,3750000.0,0.0,47500.0,47500.0,0.08,e56424f7-4b30-4cfe-91b5-95fcd215c763,pandemic,fixed-payments,working-capital,1,1,2022-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,9a84db46-297f-4c1e-8c58-2359f47d97a8,2022-04-18,b940dd1e-ffd3-4ea0-93d8-c23463a0c664,2022-04-22,30,0.3,9813f496-cd11-411a-b833-5a58318f576c,270,12000000.0,0.0,55452.0,55452.0,0.094,0,0,fixed-payments,working-capital,1,1,2022-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,32574add-66d5-4143-8da3-2fe9d2cbc06c,2021-12-22,691e494a-dc5e-4845-8f31-9721dc4fe6ca,2021-12-27,30,0.45,9ad306b2-8cb4-4d0d-855f-bd1e4aca7588,270,10000000.0,0.0,51790.0,51790.0,0.099,e82d34fe-37ed-46d4-a58b-9e8bb2389ddc,0,fixed-payments,working-capital,2,1,2022-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,3e3f50dd-3e45-4269-8438-f447df4b66ad,2021-05-15,67022d7b-3c90-40fb-aec8-85a36001bdbd,2021-05-17,30,0.25,e1fd7326-e914-48aa-b5bb-8f8203fcc149,540,308008.0,0.28,2100.0,3000.0,0.12,a67db208-4611-40e4-b60b-9e7836e2740b,,revenue-based-capped,working-capital,4,1,2021-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,e6c168f4-aa03-432f-b1d3-1ff348627f48,2021-09-10,4aa416b8-a0da-48b1-b4a1-92dec7fb9a34,2021-09-23,30,0.3333,5419a51e-40e6-4b64-8519-9d18c24eb214,240,750000.0,0.39,3150.0,4100.0,0.15,3aaa4071-fdea-4e81-9726-c0e9591dde2e,,revenue-based-capped,working-capital,1,1,2021-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,de148e2a-a3e3-4c13-b070-5fb55f32b6f3,2021-12-27,44436f82-dccf-4a39-ada3-781adc62b1cf,2021-12-30,30,0.5,f9018ddf-784d-4bb3-a31e-88590f25224d,180,8000000.0,0.3,42000.0,50000.0,0.085,0,0,revenue-based-capped,working-capital,1,1,2022-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,82b899e8-ccc9-401a-843c-a267975fa31d,2021-12-27,5c369c95-538a-4a32-aece-e483a97a3dac,2021-12-30,30,1.0,20ee9e35-801c-4199-870b-17bde1fe135c,180,3000000.0,0.0,18200.0,18200.0,0.092,0,0,fixed-payments,working-capital,4,1,2022-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
