,contract_id,starts_on,company_id,first_disb_date,grace_period_days,max_disposition_percentage,projection_uuid,projected_financing_days,principal_amount,take_rate,min_daily_payment,max_daily_payment,disbursement_fee,blended_contract_id,projection_method,payment_model,product_type,platforms,sat_conn
265,93830bbc-0d4f-4fba-8733-6f0870b34bd9,2021-04-27,60a12682-994b-478f-a782-0d6684c11a8e,2021-04-27,60,1.0,e1163d69-dfa0-4ada-8d34-3fcf2da03eab,120,413862.0,0.0,7457.8,7457.8,0.07,,,fixed-payments,working-capital,1,0
266,76b172ec-4b5e-4779-b048-4b1c112a2db6,2021-04-29,e8b94d3b-9e55-4b40-9dcc-d26883a6d235,2021-06-09,30,0.3333,80a8effb-2d58-405c-8ec4-bbac97b1e694,300,715963.0,0.18,2735.0,3566.0,0.147,,,revenue-based-capped,working-capital,1,1
267,e1ff6e66-be5a-4674-be12-f0dd89310b3f,2021-04-29,e4f81103-41a0-4a33-9366-964489d4cd23,,30,0.25,043b5ea9-46ce-49c1-b656-ae19f232f4c1,540,130944.0,0.11,320.0,450.0,0.115,,,revenue-based-capped,working-capital,1,0
268,c1e5427c-659b-4f22-846a-ff5aa307a254,2021-04-30,d1b258d1-9f86-4139-b9ce-de1d33e3434f,2021-06-01,30,0.25,a71ca292-f692-44e1-a470-c2275c2eecac,300,804592.0,0.05,2879.0,3645.0,0.11,,,revenue-based-capped,working-capital,1,1
269,3c16aa75-2677-4a55-ba11-e0709bb3bdc9,2021-04-30,2dfdd356-5cd4-44c2-8387-3b55f7cb75db,2021-05-17,30,0.25,302f9a0b-9fac-440b-a0ed-de681a055416,330,252612.0,0.09,903.0,1145.0,0.14,,,revenue-based-capped,working-capital,1,1
270,203c4177-e6fe-4928-a986-5acb4b376198,2021-05-03,f5f8ea69-a24a-405d-95e0-906098fc65f8,2021-05-07,30,0.4,a9a077ed-83bb-4f1e-9e05-e28d2883e0a7,510,512392.0,0.04,1400.0,2100.0,0.1,,,revenue-based-capped,working-capital,0,1
271,09310e3a-dd24-4e84-9e63-3934778b5bfe,2021-05-03,396641aa-bf0c-4a73-9af3-1ca1246f452d,2021-05-07,30,0.25,52c055a8-e174-4386-a9f1-fada5c5b45d4,330,315393.0,0.17,9999999.0,0.0,0.14,,,revenue-based-uncapped,working-capital,1,0
272,6ab94c6d-020d-4667-8c97-3440796fc0bd,2021-05-03,f5f8ea69-a24a-405d-95e0-906098fc65f8,2021-05-17,60,0.5,a9a077ed-83bb-4f1e-9e05-e28d2883e0a7,180,2500000.0,0.0,44566.67,44566.67,0.06,,,fixed-payments,sales-advancement,0,1
273,8c8c6082-b994-49f2-b5f4-eae1feac3119,2021-05-10,b2a87ab4-b13b-491e-9241-03f9e29bbc93,2021-05-12,30,0.25,d1ead776-0b55-492a-badf-b21a2d4f77b1,360,265207.0,0.105,950.0,1280.0,0.12,7dd6790f-7cbd-413e-afa1-ce5b3dc5966f,,revenue-based-capped,working-capital,1,0
274,3aaa4071-fdea-4e81-9726-c0e9591dde2e,2021-05-10,4aa416b8-a0da-48b1-b4a1-92dec7fb9a34,2021-05-13,30,0.35,824b6efa-15de-44d7-bf5c-dcb7eabdea77,300,230448.0,0.233,880.0,1165.0,0.157,,,revenue-based-capped,working-capital,1,1
275,27f42f3d-b09c-409a-8280-6d60a3e0c0a8,2021-05-24,97503d87-af9f-4295-8aac-185eb228a0f3,2021-06-15,30,0.25,df1eab02-bec5-4413-8816-ae33b1dc2715,360,2303529.0,0.25,8315.0,10550.0,0.12,,,revenue-based-capped,working-capital,1,1
276,f3160bd7-1c9d-4b1b-bf33-a9c01a99332e,2021-05-24,04fddd09-49ab-4f5f-952a-1d3d82f71359,2021-05-25,30,0.5,5234a1ea-9646-4d76-a841-a844007f8945,300,3012433.0,0.068,12992.0,16991.0,0.104,,,revenue-based-capped,working-capital,0,1
277,888f6daa-4dbf-404c-855c-ca9fcc292873,2021-05-28,74ebb33a-ef79-4600-a3c7-62ead281955b,2021-06-04,60,0.25,b153d020-3cee-4d5a-84a1-b05fa58935fc,300,2227029.0,0.08,9191.0,13653.0,0.11,,,revenue-based-capped,working-capital,0,1
